d1 number of elements:  1000
	First Element: 0.0465479015435666
	Sorted
	First Sorted Distance: 0.0436262405906764
Cluster Count: 8	Start Value: 0.0494495	End Value: 0.0504495
Cluster Count: 0	Start Value: 0.0504495	End Value: 0.0514495
Cluster Count: 3	Start Value: 0.0514495	End Value: 0.0524495
d17 number of elements:  1000
	First Element: 0.0746104920520279
	Sorted
	First Sorted Distance: 0.0703955874360683
	Clustering Elements
Cluster Count: 12	Start Value: 0.07039559	End Value: 0.07139559
Cluster Count: 58	Start Value: 0.07139559	End Value: 0.07239559
Cluster Count: 73	Start Value: 0.07239559	End Value: 0.07339559
Cluster Count: 120	Start Value: 0.07339559	End Value: 0.07439559
Cluster Count: 149	Start Value: 0.07439559	End Value: 0.07539558
Cluster Count: 182	Start Value: 0.07539558	End Value: 0.07639559
Cluster Count: 145	Start Value: 0.07639559	End Value: 0.07739559
Cluster Count: 89	Start Value: 0.07739559	End Value: 0.07839559
Cluster Count: 72	Start Value: 0.07839559	End Value: 0.07939558
Cluster Count: 36	Start Value: 0.07939558	End Value: 0.08039559
Cluster Count: 25	Start Value: 0.08039559	End Value: 0.08139559
Cluster Count: 21	Start Value: 0.08139559	End Value: 0.08239559
Cluster Count: 9	Start Value: 0.08239559	End Value: 0.08339559
Cluster Count: 7	Start Value: 0.08339559	End Value: 0.08439559
Cluster Count: 2	Start Value: 0.08439559	End Value: 0.08539559
d18 number of elements:  1000
	First Element: 0.0463778615454781
	Sorted
	First Sorted Distance: 0.0455657867242368
	Clustering Elements
Cluster Count: 17	Start Value: 0.04556579	End Value: 0.04656579
Cluster Count: 54	Start Value: 0.04656579	End Value: 0.04756579
Cluster Count: 167	Start Value: 0.04756579	End Value: 0.04856579
Cluster Count: 230	Start Value: 0.04856579	End Value: 0.04956579
Cluster Count: 275	Start Value: 0.04956579	End Value: 0.05056579
Cluster Count: 168	Start Value: 0.05056579	End Value: 0.05156579
Cluster Count: 75	Start Value: 0.05156579	End Value: 0.05256579
Cluster Count: 12	Start Value: 0.05256579	End Value: 0.05356579
Cluster Count: 2	Start Value: 0.05356579	End Value: 0.05456579
d19 number of elements:  1000
	First Element: 0.0424073973755615
	Sorted
	First Sorted Distance: 0.0404156198388071
	Clustering Elements
Cluster Count: 7	Start Value: 0.04041562	End Value: 0.04141562
